timestamp,package_id,gps_coords,temperature,status
2025-06-02T21:28:45I50,PKG051,"(17.623723, 126.184113)",29 C,In Transit
2025-06-02T21:28:45I51,PKG052,"(13.305802, 118.206489)",25 C,Delayed
2025-06-02T21:28:45I52,PKG053,"(13.782405, 120.473819)",30 C,In Transit
2025-06-02T21:28:45I53,PKG054,"(8.268668, 121.02459)",29 C,In Transit
2025-06-02T21:28:45I54,PKG055,"(5.886895, 116.200899)",25 C,Delivered
2025-06-02T21:28:45I55,PKG056,"(12.894386, 123.107975)",24 C,Delayed
2025-06-02T21:28:45I56,PKG057,"(17.449892, 121.073133)",27 C,Delayed
2025-06-02T21:28:45I57,PKG058,"(20.92372, 118.201378)",30 C,Delivered
2025-06-02T21:28:45I58,PKG059,"(16.371299, 121.448807)",24 C,Delayed
2025-06-02T21:28:45I59,PKG060,"(19.116163, 122.54387)",27 C,Delivered
2025-06-02T21:28:45I60,PKG061,"(12.383356, 122.543532)",24 C,Delivered
2025-06-02T21:28:45I61,PKG062,"(15.270062, 124.487669)",28 C,In Transit
2025-06-02T21:28:45I62,PKG063,"(10.53883, 123.581025)",24 C,In Transit
2025-06-02T21:28:45I63,PKG064,"(8.115421, 118.179785)",27 C,Delivered
2025-06-02T21:28:45I64,PKG065,"(8.614689, 122.127191)",26 C,Delivered
2025-06-02T21:28:45I65,PKG066,"(20.699101, 121.302036)",30 C,In Transit
2025-06-02T21:28:45I66,PKG067,"(5.88126, 122.106461)",29 C,Delivered
2025-06-02T21:28:45I67,PKG068,"(19.641856, 118.564714)",29 C,In Transit
2025-06-02T21:28:45I68,PKG069,"(7.850129, 126.176767)",30 C,Delayed
2025-06-02T21:28:45I69,PKG070,"(11.596224, 123.87906)",27 C,Delivered
2025-06-02T21:28:45I70,PKG071,"(20.870535, 118.869821)",25 C,Delivered
2025-06-02T21:28:45I71,PKG072,"(7.066627, 121.587405)",27 C,Delayed
2025-06-02T21:28:45I72,PKG073,"(11.524749, 122.789777)",24 C,In Transit
2025-06-02T21:28:45I73,PKG074,"(11.925206, 121.440786)",26 C,Delayed
2025-06-02T21:28:45I74,PKG075,"(16.157693, 122.511117)",24 C,Delivered
2025-06-02T21:28:45I75,PKG076,"(16.079091, 121.656367)",26 C,In Transit
2025-06-02T21:28:45I76,PKG077,"(7.660295, 117.66164)",29 C,Delayed
2025-06-02T21:28:45I77,PKG078,"(16.914817, 116.872893)",27 C,In Transit
2025-06-02T21:28:45I78,PKG079,"(19.985812, 117.715512)",25 C,In Transit
2025-06-02T21:28:45I79,PKG080,"(10.416964, 125.762949)",26 C,In Transit
2025-06-02T21:28:45I80,PKG081,"(20.747915, 124.861846)",28 C,Delivered
2025-06-02T21:28:45I81,PKG082,"(9.038682, 117.888665)",24 C,Delayed
2025-06-02T21:28:45I82,PKG083,"(7.289341, 117.508231)",28 C,Delayed
2025-06-02T21:28:45I83,PKG084,"(16.666335, 121.762901)",30 C,Delayed
2025-06-02T21:28:45I84,PKG085,"(11.745456, 123.528897)",28 C,Delivered
2025-06-02T21:28:45I85,PKG086,"(4.880763, 116.336295)",28 C,In Transit
2025-06-02T21:28:45I86,PKG087,"(11.079348, 120.202349)",28 C,Delivered
2025-06-02T21:28:45I87,PKG088,"(14.718407, 118.002292)",24 C,In Transit
2025-06-02T21:28:45I88,PKG089,"(19.243589, 120.161785)",27 C,Delivered
2025-06-02T21:28:45I89,PKG090,"(19.368586, 122.555425)",30 C,In Transit
2025-06-02T21:28:45I90,PKG091,"(4.562331, 119.641539)",25 C,Delayed
2025-06-02T21:28:45I91,PKG092,"(7.522121, 125.573788)",24 C,Delayed
2025-06-02T21:28:45I92,PKG093,"(12.70673, 116.909012)",25 C,Delayed
2025-06-02T21:28:45I93,PKG094,"(9.728165, 125.740627)",29 C,Delayed
2025-06-02T21:28:45I94,PKG095,"(7.234115, 118.832071)",25 C,In Transit
2025-06-02T21:28:45I95,PKG096,"(5.668398, 119.618411)",24 C,Delayed
2025-06-02T21:28:45I96,PKG097,"(15.608912, 120.059955)",30 C,In Transit
2025-06-02T21:28:45I97,PKG098,"(6.298481, 116.579997)",29 C,Delayed
2025-06-02T21:28:45I98,PKG099,"(5.435493, 117.068095)",29 C,Delivered
2025-06-02T21:28:45I99,PKG100,"(10.588011, 119.056758)",27 C,Delayed
